valor,elemento,foil,tipoCarta,colecao
34.86,,Foil,Trainer – Supporter,Fogo Branco
58.91,,Reverse Foil,Trainer – Supporter,Fogo Branco
48.13,,Foil,Trainer – Supporter,Fogo Branco
65.11,,Reverse Foil,Trainer – Supporter,Fogo Branco
6.81,,Normal,Trainer – Supporter,Fogo Branco
25.32,,Normal,Trainer – Supporter,Fogo Branco
62.71,,Reverse Foil,Trainer – Supporter,Fogo Branco
52.11,,Foil,Trainer – Supporter,Fogo Branco
5.8,,Normal,Trainer – Supporter,Fogo Branco
17.01,,Normal,Trainer – Supporter,Fogo Branco
68.5,,Reverse Foil,Trainer – Supporter,Fogo Branco
62.86,,Reverse Foil,Trainer – Supporter,Fogo Branco
59.81,,Reverse Foil,Trainer – Supporter,Fogo Branco
74.19,,Pokeball Foil,Trainer – Supporter,Fogo Branco
80.43,,Pokeball Foil,Trainer – Supporter,Fogo Branco
33.83,,Foil,Trainer – Supporter,Fogo Branco
18.39,,Normal,Trainer – Supporter,Fogo Branco
33.43,,Foil,Trainer – Supporter,Fogo Branco
59.36,,Reverse Foil,Trainer – Supporter,Fogo Branco
61.55,,Reverse Foil,Trainer – Supporter,Fogo Branco
79.45,,Pokeball Foil,Trainer – Supporter,Fogo Branco
72.16,,Reverse Foil,Trainer – Supporter,Fogo Branco
20.38,,Normal,Trainer – Supporter,Fogo Branco
62.2,,Reverse Foil,Trainer – Supporter,Fogo Branco
76.37,,Pokeball Foil,Trainer – Supporter,Fogo Branco
6.25,,Normal,Trainer – Supporter,Fogo Branco
84.18,,Pokeball Foil,Trainer – Supporter,Fogo Branco
5.6,,Normal,Trainer – Supporter,Fogo Branco
77.5,,Pokeball Foil,Trainer – Supporter,Fogo Branco
39.74,,Foil,Trainer – Supporter,Fogo Branco
21.95,,Normal,Trainer – Supporter,Fogo Branco
40.65,,Foil,Trainer – Supporter,Fogo Branco
17.1,,Normal,Trainer – Supporter,Fogo Branco
45.93,,Foil,Trainer – Supporter,Fogo Branco
31.78,,Normal,Trainer – Supporter,Fogo Branco
78.22,,Pokeball Foil,Trainer – Supporter,Fogo Branco
16.97,,Normal,Trainer – Supporter,Fogo Branco
66.05,,Reverse Foil,Trainer – Supporter,Fogo Branco
57.99,,Reverse Foil,Trainer – Supporter,Fogo Branco
77.62,,Pokeball Foil,Trainer – Supporter,Fogo Branco
12.31,,Normal,Trainer – Supporter,Fogo Branco
46.94,,Foil,Trainer – Supporter,Fogo Branco
78.89,,Pokeball Foil,Trainer – Supporter,Fogo Branco
6.31,,Normal,Trainer – Supporter,Fogo Branco
